ID,datasets shared,datasets uploaded,groups created,run date,total user logins,total visualization launches,total workflow launches,users created,unique user logins
1,151,222,22,2018-05-29T22:34:52.287900+00:00,765,17,6,91,84
2,0,2,1,2018-05-30T22:35:13.946629+00:00,11,2,0,24,6
3,0,0,1,2018-05-31T22:35:14.001731+00:00,6,1,2,13,5
4,0,0,0,2018-06-01T22:35:13.946843+00:00,1,3,0,18,1
5,0,0,0,2018-06-02T22:35:13.943548+00:00,0,0,0,17,0
6,0,0,0,2018-06-03T22:35:13.945929+00:00,0,0,0,7,0
7,0,0,0,2018-06-04T22:35:13.944559+00:00,2,0,0,4,1
8,0,0,0,2018-06-05T22:35:13.974626+00:00,1,0,0,7,1
9,0,0,0,2018-06-06T22:35:13.945356+00:00,0,0,0,7,0
10,0,0,0,2018-06-07T22:35:13.979953+00:00,1,0,0,13,1
11,0,0,0,2018-06-08T22:35:13.995964+00:00,3,0,0,7,2
12,0,0,0,2018-06-09T22:35:13.974909+00:00,0,0,0,17,0
13,0,0,0,2018-06-10T22:35:13.979218+00:00,1,0,0,15,1
14,0,0,0,2018-06-11T22:35:14.031114+00:00,5,0,0,5,3
15,0,0,0,2018-06-12T22:35:13.989674+00:00,3,4,0,6,3
16,1,2,0,2018-06-13T22:35:14.016005+00:00,5,1,0,6,5
17,0,0,0,2018-06-14T22:35:14.001427+00:00,3,0,0,8,3
18,0,1,0,2018-06-15T22:35:14.053448+00:00,2,0,0,16,2
19,0,0,0,2018-06-16T22:35:14.031713+00:00,2,0,0,7,1
20,0,0,0,2018-06-17T22:35:14.021052+00:00,1,0,0,6,1
21,1,2,1,2018-06-18T22:35:14.098188+00:00,2,0,0,6,2
22,0,0,0,2018-06-19T22:35:14.022721+00:00,2,0,0,7,1
23,0,0,0,2018-06-20T22:35:14.036922+00:00,3,0,0,8,3
24,0,0,0,2018-06-21T22:35:14.031121+00:00,1,0,0,9,1
25,0,0,0,2018-06-22T22:35:14.039178+00:00,1,0,0,10,1
26,0,0,0,2018-06-23T22:35:14.068832+00:00,1,0,0,7,1
27,0,0,0,2018-06-24T22:35:14.055277+00:00,0,0,0,11,0
28,0,0,0,2018-06-25T22:35:14.049490+00:00,2,0,0,10,2
29,0,0,0,2018-06-26T22:35:14.068846+00:00,2,1,0,9,2
30,0,0,0,2018-06-27T22:35:14.123890+00:00,4,0,0,11,3
31,0,0,0,2018-06-28T22:35:14.117049+00:00,4,0,0,10,3
